Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website ,Industries,Founded Year
Pitch N Hire,2021-02-03,250000.0,Pre-Seed,https://www.linkedin.com/company/pitch-n-hire/,www.pitchnhire.com/,"Enterprise Software, Human Resources, Recruiting, SaaS",
Nuacem AI,2021-10-20,756000.0,Seed,https://www.linkedin.com/company/nuacem,nuacem.com,"Artificial Intelligence (AI), B2B, Consumer Software, Customer Service",
GodamWale,2021-09-15,1000000.0,Seed,https://www.linkedin.com/company/godamwale-trading-&-logistics-private-limited,www.godamwale.com,"Logistics, SaaS, Supply Chain Management, Warehousing",
Solvio,2021-02-10,90000.0,Angel,https://www.linkedin.com/company/solvio-ai,trysolvio.ai,"Artificial Intelligence (AI), B2B, Computer Vision, Developer APIs",
VasyERP,2021-08-10,4200000.0,Seed,https://www.linkedin.com/company/vasyerp,www.vasyerp.com/,"Apps, Billing, CRM, Enterprise Applications",
CarX,2023-04-01,100000.0,Seed,https://www.linkedin.com/company/carx,www.carx.io,"Apps, Artificial Intelligence (AI), Automotive, Fleet Management",
Nukkad Shops,,5000000.0,—,https://www.linkedin.com/company/nukkad-shops/,nukkadshops.com,"Apps, Billing, Loyalty Programs, Marketing",
Laalsa,2020-05-18,1000000.0,Seed,https://www.linkedin.com/company/laalsa/,laalsa.com/business,"Delivery Service, E-Commerce, Food and Beverage, Food Delivery",
Brightrays,2022-03-09,2000000.0,Seed,,www.brightrays.com/,"Artificial Intelligence (AI), Digital Marketing, Machine Learning, SaaS",
Kohbee,2022-09-10,5000000.0,Seed,https://www.linkedin.com/company/kohbee,kohbee.com,"Content Creators, SaaS, Software,",
Seconize,2022-03-15,50000.0,Pre-Seed,https://www.linkedin.com/company/seconize/,seconize.co/,"Artificial Intelligence (AI), Cloud Security, Compliance, Cyber Security",
Ramco,2015-05-07,52000000.0,Post-IPO Equity,https://www.linkedin.com/company/ramco-systems?trk=hb_tab_compy_id_165652,ramco.com,"Cloud Computing, Enterprise Resource Planning (ERP), Logistics, Retail",
Adurcup,2019-11-20,5000000.0,Seed,https://www.linkedin.com/company/adcount-technologies-pvt-ltd,www.adurcup.com/,"B2B, E-Commerce, Food and Beverage, SaaS",
ONGO Framework,,5000000.0,—,https://www.linkedin.com/company/ongoframework/,ongoframework.com/,"B2B, Information Services, Information Technology, SaaS",
PrognoAdvisor,2019-03-01,6966000.0,Seed,https://www.linkedin.com/company/progno-financial-planning-systems-private-limited,prognoadvisor.com,"Asset Management, Finance, Financial Services, FinTech",
Aquaria Solutions,2020-10-19,1500000.0,Seed,https://www.linkedin.com/company/aquariasolutions,aquaria.solutions,"SaaS, Software, ,",
SynctacticAI,2021-09-13,100000.0,Seed,https://www.linkedin.com/company/synctacticai-technology-pvt-ltd/about/?viewAsMember=true,synctactic.ai/,"Analytics, SaaS, ,",
CertifyMe,2022-02-22,100000.0,Seed,https://www.linkedin.com/company/certify-me-online/,certifyme.online/,"SaaS, , ,",
FireCompass India,2023-02-06,7000000.0,Venture - Series Unknown,https://www.linkedin.com/company/firecompass,www.firecompass.com,"Big Data, Cyber Security, SaaS,",
OneDirect,2018-09-04,700000.0,Seed,https://www.linkedin.com/company/6642851,getonedirect.com/,"Customer Service, SaaS, Social CRM, Social Media",
The Phi Factory,2022-03-30,1500000.0,Seed,https://www.linkedin.com/company/the-phi-factory/,www.phifactory.tech,"Blockchain, Consulting, Innovation Management, SaaS",
Innomaint,2017-07-14,924000.0,Series A,https://www.linkedin.com/showcase/innomaint/,www.innomaint.com/,"SaaS, Software, ,",
Flexing It™,2015-10-26,500000.0,Angel,http://www.linkedin.com/company/flexing-it,www.flexingit.com,"Consulting, Freelance, Online Portals, Professional Services",
Baetho India,2022-02-01,10000000.0,Equity Crowdfunding,https://www.linkedin.com/company/baethosoftware/,www.baetho.com/,"Digital Signage, EdTech, SaaS, Sales Automation",
OkayGo,,5000000.0,—,https://www.linkedin.com/company/okaygo/,okaygo.in,"Human Resources, Mobile Apps, Recruiting, SaaS",
Dockabl,2019-06-06,1260000.0,Seed,https://www.linkedin.com/company/dockabl/,www.dockabl.com/,"SaaS, Software, ,",
iDesign.Market,2023-06-02,200000.0,Pre-Seed,https://www.linkedin.com/company/idesignmarket/,www.idesign.market/,"Marketplace, SaaS, ,",
Mr.Milkman,2016-10-29,150000.0,Angel,https://www.linkedin.com/company/mr.milkman/,milkmanapps.com/,"Apps, E-Commerce, Information Technology, SaaS",
SWIRL,2024-02-06,91000000.0,Seed,https://www.linkedin.com/company/swirlliveapp,www.goswirl.live,"E-Commerce, E-Commerce Platforms, Internet, Retail Technology",
